transaction_id,date,customer_id,category,product,quantity,unit_price,total_price,discount
TXN-000001,2024-01-01,CUST-0110,Pet Accessories,Pet ID Tag,1,21.66,21.66,0.0
TXN-000001,2024-01-01,CUST-0110,Health Products,Vitamins,1,34.65,34.65,0.0
TXN-000001,2024-01-01,CUST-0110,Cat Food,Hairball Control Formula,2,16.58,33.16,0.0
TXN-000002,2024-01-01,CUST-0087,Cat Toys,Interactive Ball Tower,3,10.49,31.47,0.0
TXN-000002,2024-01-01,CUST-0087,Dog Toys,Tennis Ball Pack,2,17.08,34.16,0.0
TXN-000002,2024-01-01,CUST-0087,Dog Toys,Interactive Puzzle Toy,1,17.38,17.38,0.0
TXN-000003,2024-01-01,CUST-0168,Dog Toys,Rope Tug Toy,1,16.95,16.95,0.0
TXN-000003,2024-01-01,CUST-0168,Pet Accessories,Pet ID Tag,1,18.23,18.23,0.0
TXN-000004,2024-01-01,CUST-0049,Cat Food,Hairball Control Formula,1,44.72,44.72,0.0
TXN-000004,2024-01-01,CUST-0049,Grooming Services,De-shedding Treatment,1,53.96,53.96,0.0
TXN-000005,2024-01-01,CUST-0077,Grooming Supplies,Dog Shampoo,1,18.74,18.74,0.0
TXN-000005,2024-01-01,CUST-0077,Dog Toys,Plush Squeaky Toy,2,7.25,14.5,0.0
TXN-000006,2024-01-01,CUST-0103,Cat Toys,Catnip Mouse,1,11.52,11.52,0.0
TXN-000006,2024-01-01,CUST-0103,Dog Food,Puppy Kibble,1,49.12,49.12,0.0
TXN-000007,2024-01-01,CUST-0004,Dog Toys,Plush Squeaky Toy,1,10.99,10.99,0.0
TXN-000007,2024-01-01,CUST-0004,Cat Food,Hairball Control Formula,3,44.27,107.06,25.752679200803627
TXN-000008,2024-01-01,CUST-0087,Health Products,Vitamins,1,15.14,15.14,0.0
TXN-000008,2024-01-01,CUST-0087,Cat Food,Kitten Formula,1,23.9,23.9,0.0
TXN-000008,2024-01-01,CUST-0087,Cat Toys,Catnip Mouse,1,14.81,14.81,0.0
TXN-000008,2024-01-01,CUST-0087,Dog Toys,Rope Tug Toy,1,9.01,9.01,0.0
TXN-000009,2024-01-01,CUST-0048,Cat Food,Premium Cat Kibble,2,40.04,80.08,0.0
TXN-000010,2024-01-01,CUST-0076,Grooming Services,Teeth Cleaning,1,54.55,46.62,7.929605058238102
TXN-000010,2024-01-01,CUST-0076,Dog Food,Senior Dog Diet,1,47.96,47.96,0.0
TXN-000010,2024-01-01,CUST-0076,Dog Food,Senior Dog Diet,1,35.99,35.99,0.0
TXN-000011,2024-01-01,CUST-0199,Health Products,Dental Chews,1,18.25,18.25,0.0
TXN-000011,2024-01-01,CUST-0199,Dog Food,Wet Dog Food Cans,1,48.5,48.5,0.0
TXN-000011,2024-01-01,CUST-0199,Dog Food,Puppy Kibble,1,42.35,42.35,0.0
TXN-000011,2024-01-01,CUST-0199,Dog Food,Wet Dog Food Cans,1,45.03,45.03,0.0
TXN-000011,2024-01-01,CUST-0199,Grooming Supplies,Nail Clippers,1,20.0,20.0,0.0
TXN-000011,2024-01-01,CUST-0199,Dog Food,Puppy Kibble,2,29.29,58.58,0.0
TXN-000011,2024-01-01,CUST-0199,Cat Food,Senior Cat Diet,1,22.64,22.64,0.0
TXN-000012,2024-01-01,CUST-0117,Cat Food,Senior Cat Diet,2,43.43,86.86,0.0
TXN-000012,2024-01-01,CUST-0117,Dog Food,Grain-Free Dog Food,1,47.41,37.56,9.850256220330628
TXN-000012,2024-01-01,CUST-0117,Cat Food,Wet Cat Food Pouches,4,37.2,148.8,0.0
TXN-000013,2024-01-01,CUST-0090,Dog Toys,Rubber Chew Toy,2,6.02,12.04,0.0
TXN-000013,2024-01-01,CUST-0090,Grooming Services,Teeth Cleaning,2,57.6,115.2,0.0
TXN-000013,2024-01-01,CUST-0090,Cat Toys,Interactive Ball Tower,2,10.15,20.3,0.0
TXN-000014,2024-01-01,CUST-0039,Dog Food,Wet Dog Food Cans,1,28.54,28.54,0.0
TXN-000014,2024-01-01,CUST-0039,Dog Toys,Plush Squeaky Toy,1,23.1,23.1,0.0
TXN-000015,2024-01-01,CUST-0184,Dog Food,Puppy Kibble,1,40.18,40.18,0.0
TXN-000015,2024-01-01,CUST-0184,Dog Food,Premium Dry Dog Food,1,24.76,24.76,0.0
TXN-000015,2024-01-01,CUST-0184,Cat Toys,Interactive Ball Tower,2,5.6,11.2,0.0
